"","PROBEID","t","p","p_adjust","SYMBOL"
"1","207266_x_at",20.7421123253288,3.03758568890724e-43,6.69088999695599e-39,"RBMS1"
"2","225651_at",20.3462227619583,1.75941438431578e-42,1.29182068811079e-38,"UBE2E2"
"3","213413_at",20.2210064900277,1.33728106436155e-38,1.84101812529324e-35,"STON1"
"4","202363_at",19.8479246062828,1.36127079242421e-40,4.99745195745468e-37,"SPOCK1"
"5","225782_at",19.6612500885034,6.83051923426709e-41,3.00911694346402e-37,"MSRB3"
"6","212607_at",19.6142682482337,1.51673710077588e-38,1.96524518345825e-35,"AKT3"
"7","225021_at",19.5878609543573,4.67094253652019e-39,7.9143731732254e-36,"ZNF532"
"8","227561_at",19.3683205088496,2.64495639984931e-39,5.29640496540735e-36,"DDR2"
"9","209210_s_at",19.2620833915303,3.84572365941977e-40,1.05887193807549e-36,"FERMT2"
"10","227059_at",19.1676071266035,4.33764094310894e-39,7.9143731732254e-36,"GPC6"
