"","setname","pvalue","estimate","exp","BH"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",1,0.612156523786699,"UP",1
"2","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",1,0.612156523786699,"Down",1
"3","GOBP_REPRODUCTION",0.0194693744972721,1.33828058304434,"UP",0.186695329220219
"4","GOBP_REPRODUCTION",0.946939651763434,1.00391322991614,"Down",1
"5","GOBP_SINGLE_STRAND_BREAK_REPAIR",1,0,"UP",1
"6","GOBP_SINGLE_STRAND_BREAK_REPAIR",1,0,"Down",1
"7","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.369478758310456,0.540873046391444,"UP",0.977967551589931
"8","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.818793474437791,0.733925976922825,"Down",1
"9","GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"UP",1
"10","GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"Down",1
"11","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.623233151213399,0,"UP",1
"12","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.623233151213399,0,"Down",1
"13","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",0.615813604058349,0,"UP",1
"14","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",0.615813604058349,0,"Down",1
"15","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",1,0.524565084776482,"UP",1
"16","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.104741232712247,2.45555876095755,"Down",0.53935776116754
"17","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.318943226909583,0.563675934409224,"UP",0.940948824131184
"18","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.158157079045713,0.41694290701669,"Down",0.684152768948246
"19","GOBP_UREA_CYCLE",1,0,"UP",1
"20","GOBP_UREA_CYCLE",0.0329163868246173,5.52453831131407,"Down",0.264970408723382
"21","GOBP_CITRULLINE_METABOLIC_PROCESS",0.500820959670114,1.57548755579402,"UP",1
"22","GOBP_CITRULLINE_METABOLIC_PROCESS",0.138374751407354,3.67967960224145,"Down",0.62528071603332
"23","GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"UP",1
"24","GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
"25","GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"UP",1
"26","GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
"27","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",2.82907528644558e-05,0,"UP",0.00132148961659979
"28","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.41510981925776,1.27186819844323,"Down",0.987516245649286
"29","GOBP_CELL_CYCLE_CHECKPOINT",4.66234516848658e-05,0.0706585284872761,"UP",0.00202459108105326
"30","GOBP_CELL_CYCLE_CHECKPOINT",1,0.924268097733186,"Down",1
"31","GOBP_DNA_REPLICATION_CHECKPOINT",0.618409386055957,0,"UP",1
"32","GOBP_DNA_REPLICATION_CHECKPOINT",0.0874755398405794,3.3139016588634,"Down",0.475835161429818
"33","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.719979955132276,0.440461895043211,"UP",1
"34","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.270086534150221,2.00844251242726,"Down",0.8718627919644
"35","GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",1,0.816297677392787,"UP",1
"36","GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.73042272712036,1.27290463174293,"Down",1
"37","GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",1,0.847925538708144,"UP",1
"38","GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.623233151213399,0,"Down",1
"39","GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.54236036553929,1.37845322796232,"UP",1
"40","GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.0329163868246173,5.52453831131407,"Down",0.264970408723382
"41","GOBP_SULFUR_AMINO_ACID_TRANSPORT",1,0,"UP",1
"42","GOBP_SULFUR_AMINO_ACID_TRANSPORT",1,0,"Down",1
"43","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.357671473600198,1.14564936374975,"UP",0.962839076563048
"44","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.00161929008942216,0.559197196125488,"Down",0.0335829551539427
"45","GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION",0.680369923948247,1.22542716484053,"UP",1
"46","GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION",0.680369923948247,1.22542716484053,"Down",1
"47","GOBP_RRNA_MODIFICATION",0.252549807151808,0,"UP",0.854051976644025
"48","GOBP_RRNA_MODIFICATION",0.704490309190263,1.10267420951884,"Down",1
"49","GOBP_MAPK_CASCADE",3.84973417004034e-08,2.03099053076191,"UP",4.35576033928009e-06
"50","GOBP_MAPK_CASCADE",0.0465641348615776,0.708546886857899,"Down",0.328397480686039
"51","GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY",1,0,"UP",1
"52","GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY",0.615365386596417,1.10257156222356,"Down",1
"53","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",0.0323391688426362,0,"UP",0.264970408723382
"54","GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",0.18592696542486,0.228932140627643,"Down",0.727770243675322
"55","GOBP_ACTIVATION_OF_MAPKKK_ACTIVITY",0.54236036553929,1.37845322796232,"UP",1
