"","setname","pvalue","estimate","exp","BH"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00417823760485492,1.9208089272685,"UP",0.0167129504194197
"2","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00981327654323088,0.367856758140682,"Down",0.0350474162258246
"3","HALLMARK_HYPOXIA",1.91851402728112e-05,2.53330015264452,"UP",0.00011990712670507
"4","HALLMARK_HYPOXIA",0.406764016418108,0.741217453192678,"Down",0.559957614561771
"5","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.656721121752856,0.72182723388825,"UP",0.810766816978835
"6","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.820023131628505,1.12189521548277,"Down",0.921374305200568
"7","HALLMARK_MITOTIC_SPINDLE",0.585159685005292,1.15242301441712,"UP",0.731449606256615
"8","HALLMARK_MITOTIC_SPINDLE",0.028541909116154,0.442215184207613,"Down",0.0839467915181
"9","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.752325963485541,1.10277706318553,"UP",0.880109498641845
"10","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.520022209000644,0.343894970317096,"Down",0.684239748685058
"11","HALLMARK_TGF_BETA_SIGNALING",0.0335831048267706,2.43276109150289,"UP",0.0880059391022836
"12","HALLMARK_TGF_BETA_SIGNALING",0.124247595143707,0.224239728249795,"Down",0.238937682968667
"13","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0132501072842585,2.33673630735354,"UP",0.0456900251181328
"14","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0441713238906675,0.161305797189879,"Down",0.107734936318701
"15","HALLMARK_DNA_REPAIR",0.0337595316475982,0.319092954459144,"UP",0.0880059391022836
"16","HALLMARK_DNA_REPAIR",0.722283587620678,0.777984007868006,"Down",0.86457254938574
"17","HALLMARK_G2M_CHECKPOINT",0.000207979740160137,0.181307291224771,"UP",0.0012234102362361
"18","HALLMARK_G2M_CHECKPOINT",0.282080863426298,1.2826265044307,"Down",0.427395247615603
"19","HALLMARK_APOPTOSIS",0.00510098087134552,2.04406795398815,"UP",0.0196191571974828
"20","HALLMARK_APOPTOSIS",0.0321416402602726,0.399390168292172,"Down",0.0880059391022836
"21","HALLMARK_NOTCH_SIGNALING",0.078094333704031,2.40350718782684,"UP",0.159376191232716
"22","HALLMARK_NOTCH_SIGNALING",0.726240941484022,0.407762169938266,"Down",0.86457254938574
"23","HALLMARK_ADIPOGENESIS",0.0852653657349684,1.54201330305095,"UP",0.170530731469937
"24","HALLMARK_ADIPOGENESIS",0.0014274207579266,2.10575322926731,"Down",0.00648827617239364
"25","HALLMARK_ESTROGEN_RESPONSE_EARLY",1,0.940325233258415,"UP",1
"26","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00557310933081871,1.90944039207747,"Down",0.0206411456696989
"27","HALLMARK_ESTROGEN_RESPONSE_LATE",0.218728017315246,0.656782906448936,"UP",0.358570520188928
"28","HALLMARK_ESTROGEN_RESPONSE_LATE",0.000468370439052555,2.1947607336848,"Down",0.00242074917865013
"29","HALLMARK_ANDROGEN_RESPONSE",0.849227691772586,1.05041505689485,"UP",0.92601840551554
"30","HALLMARK_ANDROGEN_RESPONSE",0.343332612735632,1.34794806229014,"Down",0.497583496718307
"31","HALLMARK_MYOGENESIS",2.34864388699644e-14,4.95766258139943,"UP",1.17432194349822e-12
"32","HALLMARK_MYOGENESIS",0.538892566292822,0.743733574481078,"Down",0.690887905503618
"33","HALLMARK_PROTEIN_SECRETION",1,0.869613103643218,"UP",1
"34","HALLMARK_PROTEIN_SECRETION",0.550210721070001,1.193419552077,"Down",0.696469267177217
"35","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.318943226909583,0.563675934409224,"UP",0.476034667029228
"36","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0139833769368325,0.135256900370205,"Down",0.0466112564561083
"37","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.166564565185749,1.42184249755197,"UP",0.302844663974089
"38","HALLMARK_INTERFERON_GAMMA_RESPONSE",6.19437564966387e-06,0.0620486154696931,"Down",4.76490434589529e-05
"39","HALLMARK_APICAL_JUNCTION",1.23973878215698e-08,3.39310956217254,"UP",2.06623130359497e-07
"40","HALLMARK_APICAL_JUNCTION",0.0401585592441999,0.437647269047239,"Down",0.1003963981105
"41","HALLMARK_APICAL_SURFACE",0.184286619296746,2.04674522554938,"UP",0.329083248744189
"42","HALLMARK_APICAL_SURFACE",1,0.734460745452554,"Down",1
"43","HALLMARK_HEDGEHOG_SIGNALING",0.068633217706661,2.51296866672385,"UP",0.14298587022221
"44","HALLMARK_HEDGEHOG_SIGNALING",0.72273184809759,0.423483215180155,"Down",0.86457254938574
"45","HALLMARK_COMPLEMENT",4.75609262994398e-06,2.72765247873622,"UP",3.96341052495332e-05
"46","HALLMARK_COMPLEMENT",0.0629052352408755,0.488002590591084,"Down",0.1394212011173
"47","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.246095227966982,0.523127069414413,"UP",0.396927787043519
"48","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0325623911463395,0.254922072324305,"Down",0.0880059391022836
"49","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.211098833380745,0.451458066958786,"UP",0.353089237574437
"50","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.833654255835637,0.775278426768683,"Down",0.92601840551554
"51","HALLMARK_MTORC1_SIGNALING",0.0570501269135608,0.502944336887954,"UP",0.130200949599395
"52","HALLMARK_MTORC1_SIGNALING",0.786460749299857,1.06368707085731,"Down",0.893705396931656
"53","HALLMARK_E2F_TARGETS",2.27788511314269e-07,0,"UP",2.53098345904743e-06
"54","HALLMARK_E2F_TARGETS",1,0.972381476065432,"Down",1
"55","HALLMARK_MYC_TARGETS_V1",3.78273823886975e-06,0,"UP",3.43885294442705e-05
"56","HALLMARK_MYC_TARGETS_V1",1,0.951215358868074,"Down",1
"57","HALLMARK_MYC_TARGETS_V2",0.0201769565575675,0,"UP",0.0633725202817456
"58","HALLMARK_MYC_TARGETS_V2",0.194544155509916,1.75918425703532,"Down",0.338350421869169
"59","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",9.14412670590504e-69,16.2830226193024,"UP",9.14412670590504e-67
"60","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",9.47115461700701e-08,0,"Down",1.18389432712588e-06
"61","HALLMARK_INFLAMMATORY_RESPONSE",8.42354679426121e-06,2.62693658752265,"UP",6.01681913875801e-05
"62","HALLMARK_INFLAMMATORY_RESPONSE",0.0484830423609631,0.472719473089996,"Down",0.11543581514515
"63","HALLMARK_XENOBIOTIC_METABOLISM",1,0.967997957245099,"UP",1
"64","HALLMARK_XENOBIOTIC_METABOLISM",0.0202792064901586,1.76161437470633,"Down",0.0633725202817456
"65","HALLMARK_FATTY_ACID_METABOLISM",0.0246251762697914,0.350220890993242,"UP",0.0746217462720952
"66","HALLMARK_FATTY_ACID_METABOLISM",1.90140834895914e-06,3.11520905261304,"Down",1.90140834895914e-05
